T,TM,Tm,H,VV,V,VM,PM 2.5
14.7,21.0,10.0,76.0,0.6,3.0,11.1,313.22
14.4,15.0,13.0,91.0,1.4,6.1,16.5,186.18
14.0,17.0,11.0,91.0,0.6,4.8,13.0,87.18
9.1,12.0,6.0,91.0,0.5,6.7,13.0,217.87
8.4,10.0,7.0,95.0,0.5,5.7,11.1,229.9
9.7,15.0,7.0,89.0,0.8,5.9,11.1,201.66
11.7,17.0,6.0,83.0,0.8,10.9,18.3,197.61
11.3,15.0,6.0,89.0,0.8,9.4,20.6,164.39
10.7,18.0,5.0,84.0,0.5,4.3,11.1,166.19
12.9,19.0,9.0,81.0,0.8,7.6,13.0,183.35
13.5,17.0,11.0,85.0,1.1,11.3,16.5,165.63
13.3,17.0,10.0,84.0,1.3,11.7,18.3,159.54
11.9,17.0,9.0,88.0,1.0,7.6,14.8,148.59
13.1,15.0,11.0,88.0,0.8,4.1,13.0,129.34
11.8,17.0,8.0,84.0,0.8,10.7,16.5,154.2
13.0,20.0,6.0,70.0,1.9,7.2,20.6,158.59
15.7,22.0,9.0,68.0,1.6,9.8,14.8,211.59
17.3,23.0,12.0,70.0,1.8,15.6,24.1,163.64
15.6,22.0,10.0,82.0,1.4,13.5,22.2,157.71
17.1,24.0,10.0,58.0,1.9,3.7,11.1,160.75
17.4,23.0,11.0,53.0,2.3,8.9,61.1,145.34
16.8,24.0,10.0,62.0,2.1,10.0,18.3,134.67
17.3,25.0,9.0,55.0,2.6,8.0,22.2,167.01
20.5,27.0,12.0,52.0,2.6,8.1,18.3,193.96
19.4,27.0,12.0,60.0,1.4,7.0,16.5,184.06
24.1,29.0,20.0,66.0,1.9,15.9,22.2,159.97
22.8,29.0,18.0,63.0,1.9,10.2,20.6,144.12
21.3,27.0,16.0,59.0,2.3,13.0,22.2,155.38
22.7,28.0,16.0,58.0,2.1,10.4,14.8,148.19
19.6,27.0,14.0,36.0,2.7,9.4,18.3,140.78
19.7,27.0,12.0,38.0,2.9,9.1,16.5,130.42
16.9,19.0,15.0,94.0,2.3,17.6,27.8,71.83
17.0,22.0,14.0,84.0,2.3,9.1,24.1,53.71
16.4,21.0,12.0,77.0,1.9,8.7,16.5,83.49
18.3,26.0,14.0,73.0,2.4,7.0,20.6,77.57
19.2,24.0,15.0,70.0,3.1,12.8,20.6,63.24
17.3,23.0,10.0,51.0,3.2,14.1,18.3,76.62
22.4,28.0,15.0,48.0,1.6,6.3,11.1,108.66
21.2,27.0,17.0,63.0,2.9,9.4,18.3,67.94
17.0,20.0,15.0,77.0,3.1,12.0,18.3,38.89
21.2,29.0,15.0,55.0,2.9,6.9,20.6,69.51
22.8,30.0,15.0,51.0,2.7,7.4,18.3,96.62
24.9,31.0,17.0,51.0,2.9,11.1,16.5,96.28
28.0,34.0,21.0,48.0,2.3,5.7,14.8,107.26
