T,TM,Tm,H,VV,V,VM,PM 2.5
12.8,20.2,6,79,0.5,4.8,14.8,303.41
11.7,17.4,8,84,0.6,5.6,11.1,277.48
10.7,17,6,85,0.5,5.7,11.1,217.01
12.1,20.4,5.8,68,1.4,10.6,20.6,191.66
12.3,21.2,5.8,66,1.4,5.7,16.5,152.98
12.8,21.2,5.7,68,1.1,7.6,18.3,233.1
14.6,23.7,7.3,57,1.6,4.8,51.9,230.5
14.3,24.6,6.9,57,1.8,6.1,16.5,191.47
13.9,22.9,7,61,1.9,11.5,20.6,177.71
14.9,23,6,76,0.6,8,18.3,253.7
13.2,22.5,7,66,1.4,7.4,20.6,152.33
14.5,24.4,5,54,2.6,4.1,13,153.61
11.6,16.4,8,94,0.5,8.9,16.5,111.75
11.8,17.6,8.5,88,0.6,5.9,11.1,128.45
12.3,19.2,7,79,0.8,5.7,11.1,155.2
16.8,25,9.9,63,2.1,10.6,24.1,123.48
18.9,27.2,10.7,57,2.4,5.2,13,157.33
18.1,27.2,11,61,2.1,8,14.8,140.35
16.3,24.6,10,54,2.3,9.4,14.8,115.05
15,24,7,51,2.4,8.9,18.3,131.49
14.9,23.6,6.4,52,1.9,4.4,14.8,186.19
15.6,24.8,7.3,51,2.3,6.3,14.8,203.33
16.9,23.9,10.2,70,2.7,9.3,16.5,103.93
15.3,23.9,8,63,2.7,12,22.2,76.92
17,24.6,10,66,2.3,13.1,22.2,94.49
18.7,28,10.8,50,2.7,6.5,14.8,172.55
20.4,29.3,11.4,52,2.7,6.3,16.5,167.16
23.4,32.2,14.4,45,3.1,4.4,13,172.99
22.4,32.4,15,58,2.7,13.1,20.6,106.26
21,28.4,13.6,59,2.9,13.7,24.1,67.27
22.8,30.2,15,62,2.7,10.2,22.2,85.53
23.1,30.8,16.2,54,2.6,7.4,14.8,120.71
24.2,32,16.6,52,3.1,5.9,18.3,139.18
24.8,33.1,17,51,2.7,8.1,14.8,98.25
21.9,30.5,13.4,51,3.2,9.8,22.2,87.62
24.2,33,14.2,46,2.9,5.2,13,139.88
24.9,33.1,16.5,45,3.5,9.4,16.5,134.76
27.3,37.5,15,32,3.7,8,18.3,109.22
27.3,34.4,19.8,29,3.7,9.4,16.5,116.62
25.8,33.1,18.8,42,3.2,10.4,20.6,108.98
25.9,35.5,16.6,38,3.1,7.6,18.3,81.93
27.8,36.2,17.1,34,2.9,7.2,16.5,109.99
25.9,33.6,20.8,48,3.5,12,22.2,133.53
25.9,34.1,17.8,45,3.1,12.8,25.9,85.34
26.4,35.2,17,39,2.9,8.9,22.2,85.9
28.7,38.8,17.8,29,3.2,7.8,22.2,111.26
26.9,35.4,20.2,41,3.5,13.9,18.3,101.59
28.3,36.2,20.4,42,3.9,10.6,18.3,75.14
30.2,37.2,22.4,38,3.5,11.5,18.3,96.38
31.9,40,23.1,38,3.5,9.4,18.3,101.18
28.6,36.2,19.7,47,4,12,22.2,48.46
29.8,37.8,22.3,44,3.5,15.9,22.2,50.27
25.8,31.8,20.4,60,3.5,10.2,27.8,49.56
29.3,37,19,24,3.7,7.8,16.5,83.96
30.5,38.4,20,25,2.9,9.6,24.1,97.16
32.1,40,22,28,3.2,4.1,13,107.36
33.3,41,24.6,24,3.7,10.2,22.2,89.49
33.4,40.2,25,19,3.1,16.5,24.1,100.01
29.1,36.1,22.8,27,2.9,14.8,18.3,119.24
34.7,43.1,22.1,14,3.4,8.7,20.6,117.56
33.5,41,27.1,39,3.4,15.6,22.2,107.47
34.6,41.2,28.5,38,2.7,17.4,22.2,84.13
32,38.7,25.6,48,4.2,17.2,25.9,54.88
30.1,39.2,23,49,2.9,17.4,37,66.74
29.6,36.6,21.5,47,3.1,16.3,22.2,47.25
33.7,41,24.5,29,3.2,11.5,37,111.95
29.4,36.5,24,38,3.9,11.9,27.8,61.0
29.1,37.9,23,44,3.7,5,37,71.99
30.7,43.2,23,47,3.5,16.1,46.5,80.64
30.7,37.6,21.6,45,3.1,10.9,16.5,49.22
32.4,39.7,25,46,3.7,13.5,55.4,67.23
34.4,42.4,27.1,32,2.6,9.1,18.3,103.98
36.1,42.6,27,18,3.7,11.3,20.6,83.66
37.3,44.2,27.4,13,3.5,11.5,22.2,71.25
37.5,45.4,26.7,13,3.7,9.4,22.2,83.88
38,46.2,27,13,3.1,7.8,14.8,103.02
38.3,45.8,30.8,13,3.7,9.8,18.3,97.37
37.2,43.6,28.2,33,3.4,12,24.1,71.99
33.9,43.7,27,44,3.1,16.9,37,79.98
32.8,43.7,25.4,44,3.7,16.7,22.2,52.6
34.7,41.5,27.3,48,3.5,15.6,24.1,59.52
36.6,42.4,28.8,46,3.1,11.7,16.5,73.77
36.1,42.1,31,51,2.9,16.7,22.2,76.78
31.4,40.9,23.9,68,2.7,15.2,55.4,52.79
38.2,42.2,33.3,34,1.6,16.7,29.4,261.77
37.7,42,31.8,34,1.9,14.6,27.8,225.49
36.6,41.2,32,37,2.3,14.3,27.8,153.28
34.3,41.3,26,43,3.2,10.9,22.2,52.76
36.4,43.2,29.7,38,3.2,10.4,18.3,67.55
36.8,43.2,31.3,37,2.9,8,16.5,76.98
36.2,43.6,31,40,3.1,13.9,20.6,46.9
32.6,34.8,29,53,3.2,10.4,21.7,29.98
29.8,38,25.6,78,2.6,12.8,27.8,52.48
32.3,37,27.9,72,3.1,13.7,27.8,34.18
31.8,37.7,24,64,3.9,14.1,37,34.24
32.3,35,30,70,3.5,11.3,16.5,44.55
34.1,39,28.3,54,3.2,8.7,22.2,61.93
35.2,41.1,29,51,3.2,7.2,14.8,68.2
34.3,41.1,30,62,3.1,12.4,22.2,70.48
28.8,33.6,26,87,2.9,8,22.2,28.44
29.3,33.6,25.6,85,2.6,9.4,22.2,33.82
31.5,36.2,27.2,76,3.5,12.2,20.6,37.76
31.5,38,28,74,2.4,7.4,13,35.04
29.9,33.2,27,83,2.7,6.5,14.8,37.26
29.1,35.2,26.6,87,2.4,7.6,14.8,50.21
29.2,37.8,27,89,3.1,6.7,18.3,34.7
26.8,28,25.8,99,2.6,10.9,16.5,32.22
26.8,28.2,25.6,98,2.6,10.7,16.5,21.75
30.1,34.9,23.6,75,3.1,10.7,22.2,50.59
31.5,35.4,23.4,68,3.2,10.7,18.3,55.77
31.3,35.6,28,67,3.4,12.2,22.2,71.5
31,35.8,27.8,65,3.4,13,22.2,65.46
28.4,33.2,25.9,86,2.6,7.2,16.5,44.54
30.2,34.2,25.3,82,3.2,8.9,14.8,36.7
31.7,36.4,27.1,70,3.7,12.2,18.3,36.84
30.5,34.2,26.1,73,3.7,7.6,14.8,32.75
31.8,35.2,27.4,71,3.5,8,14.8,46.85
30.8,36.4,27.8,73,2.9,10,18.3,43.0
29.1,34.2,27.3,88,2.6,4.8,14.8,47.01
30.1,35.6,27,82,2.6,8.1,20.6,61.1
31.8,37.2,26.4,74,3.4,9.8,20.6,30.98
29.7,34.9,26.4,76,3.7,12,18.3,21.96
30.9,36.2,26.1,73,3.5,10.9,20.6,23.96
29.4,36.2,26.2,85,3.4,7.6,11.1,24.78
31.2,35,27.5,75,3.7,9.4,20.6,47.53
28.3,31,26,91,2.6,6.3,18.3,45.19
26.9,29,25,93,2.3,8.7,18.3,40.9
27.2,30.2,25.4,94,2.1,4.8,16.5,42.06
27.7,35,24.3,92,2.3,5.2,25.9,42.11
